s_sat,rdamm1_ts1,su_ts1,supeca_ts1,rdamm_ts2,su_ts2,supeca_ts2
0.21,0.447,0.15,0.448,0.433,0.125,0.433
0.22,0.479,0.179,0.48,0.465,0.149,0.465
0.23,0.509,0.21,0.511,0.494,0.175,0.494
0.24,0.537,0.243,0.538,0.521,0.203,0.52
0.25,0.562,0.277,0.563,0.545,0.231,0.545
0.26,0.585,0.313,0.586,0.567,0.261,0.567
0.27,0.606,0.35,0.607,0.588,0.292,0.587
0.28,0.625,0.387,0.627,0.606,0.323,0.606
0.29,0.643,0.423,0.645,0.624,0.354,0.624
0.3,0.66,0.46,0.661,0.64,0.384,0.64
0.31,0.675,0.496,0.677,0.655,0.414,0.655
0.32,0.69,0.53,0.692,0.669,0.443,0.669
0.33,0.703,0.564,0.705,0.683,0.472,0.682
0.34,0.716,0.597,0.718,0.695,0.499,0.695
0.35,0.728,0.628,0.731,0.707,0.526,0.707
0.36,0.74,0.659,0.743,0.719,0.551,0.719
0.37,0.751,0.687,0.754,0.73,0.576,0.729
0.38,0.762,0.715,0.765,0.74,0.599,0.74
0.39,0.772,0.741,0.775,0.75,0.622,0.75
0.4,0.782,0.765,0.785,0.76,0.643,0.76
0.41,0.792,0.789,0.795,0.769,0.663,0.769
0.42,0.801,0.811,0.804,0.779,0.683,0.778
0.43,0.81,0.831,0.813,0.788,0.701,0.787
0.44,0.819,0.851,0.822,0.796,0.719,0.796
0.45,0.827,0.869,0.83,0.805,0.736,0.804
0.46,0.836,0.886,0.839,0.813,0.752,0.813
0.47,0.844,0.901,0.847,0.821,0.768,0.821
0.48,0.852,0.916,0.854,0.829,0.782,0.829
0.49,0.859,0.929,0.862,0.836,0.797,0.836
0.51,0.867,0.941,0.869,0.844,0.81,0.844
0.52,0.874,0.951,0.877,0.851,0.823,0.851
0.53,0.881,0.961,0.884,0.859,0.836,0.858
0.54,0.888,0.969,0.89,0.866,0.847,0.866
0.55,0.895,0.976,0.897,0.873,0.859,0.872
0.56,0.901,0.983,0.903,0.879,0.869,0.879
0.57,0.908,0.988,0.91,0.886,0.88,0.886
0.58,0.914,0.992,0.916,0.893,0.889,0.893
0.59,0.92,0.995,0.922,0.899,0.898,0.899
0.6,0.926,0.998,0.928,0.906,0.907,0.906
0.61,0.932,0.999,0.933,0.912,0.916,0.912
0.62,0.938,1,0.939,0.918,0.924,0.918
0.63,0.943,1,0.944,0.924,0.931,0.924
0.64,0.949,0.999,0.95,0.93,0.939,0.93
0.65,0.954,0.998,0.955,0.936,0.946,0.936
0.66,0.959,0.995,0.96,0.942,0.952,0.942
0.67,0.964,0.992,0.964,0.948,0.959,0.948
0.68,0.969,0.987,0.969,0.953,0.965,0.953
0.69,0.973,0.982,0.973,0.959,0.971,0.959
0.7,0.977,0.975,0.978,0.965,0.976,0.965
0.71,0.981,0.967,0.982,0.97,0.982,0.97
0.72,0.985,0.957,0.985,0.976,0.987,0.976
0.73,0.988,0.946,0.989,0.981,0.992,0.981
0.74,0.992,0.933,0.992,0.986,0.996,0.986
0.75,0.994,0.919,0.994,0.991,0.999,0.991
0.76,0.997,0.902,0.997,0.996,1,0.996
0.77,0.998,0.883,0.998,1,0.996,1
0.78,1,0.862,1,0.996,0.975,0.996
0.79,1,0.838,1,0.923,0.915,0.923
0.8,1,0.811,1,0.827,0.831,0.827
0.81,0.998,0.781,0.998,0.735,0.744,0.735
